,states
0,Colorado
1,Connecticut
2,Delaware
3,Florida
4,Georgia
5,Hawaii
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Jersey
25,New Mexico
26,North Carolina
27,North Dakota
28,Oklahoma
29,Oregon
30,Pennsylvania
31,Rhode Island
32,South Carolina
33,South Dakota
34,Tennessee
35,Utah
36,Vermont
37,Virginia
38,Washington
39,West Virginia
40,Wisconsin
41,Wyoming
